Date,Client_Future Index Long,Client_Future Index Short,Client_Option Index Call Long,Client_Option Index Put Long,Client_Option Index Call Short,Client_Option Index Put Short,DII_Future Index Long,DII_Future Index Short,DII_Option Index Call Long,DII_Option Index Put Long,DII_Option Index Call Short,DII_Option Index Put Short,FII_Future Index Long,FII_Future Index Short,FII_Option Index Call Long,FII_Option Index Put Long,FII_Option Index Call Short,FII_Option Index Put Short,Total Call Options - Open Interest BANK NIFTY INDEX,Total Put Options - Open Interest BANK NIFTY INDEX,Total Futures - Open Interest BANK NIFTY INDEX,Price - BANK NIFTY INDEX,Returns - BANK NIFTY INDEX,NSE VIX - India,is_expiry,Total_OI
7/4/2025,146766,115062,1898043,1606581,2164476,1953421,75272,43720,70,18084,0,0,43986,109673,312500,429805,260097,277779,359635,389402,71454,57312.75,-0.002285707,12.785,0,12522624
7/7/2025,153022,115506,2076423,1745559,2256845,2080609,75152,43720,70,18084,0,0,44888,113991,318995,437331,276812,295042,385765,442307,73186,57459.45,0.00255637,12.5275,0,13397722
7/8/2025,161642,117727,2135434,2042346,2314308,2326029,75119,43720,70,21581,0,0,47671,118184,330830,440443,295869,305378,435937,443675,68459,56999.2,-0.008042249,12.445,0,14531446
7/9/2025,166250,120455,2612658,2042928,2690182,2365734,75137,43720,70,21581,0,0,47032,122737,357511,443364,342682,307214,455327,448111,67309,56791.95,-0.003642642,12.385,0,16218262
7/10/2025,171126,116937,1569418,1255602,1608491,1552772,75273,43720,70,20581,0,0,41476,126725,263223,378421,218092,221618,459886,466619,65747,57031.9,0.00421617,12.315,0,10406096
7/11/2025,178631,110608,2299359,1433224,2324355,1826035,75383,41220,70,16888,0,0,35226,138986,346342,448301,337657,273297,466745,465598,66001,56949.2,-0.001451118,12.56,0,13440662
7/14/2025,189305,109458,2611999,1615906,2688752,2018554,71999,36220,70,15336,0,0,34985,156047,373321,442669,390172,293753,467309,477503,67591,57256.3,0.005378038,12.195,0,15069250
7/15/2025,191649,108482,2559800,2007398,2663457,2352909,72050,36118,70,13283,0,0,36299,158119,369936,461212,363840,311236,466078,464207,68571,57213.55,-0.000746922,11.94,0,15722386
7/16/2025,194340,110312,2787803,2267960,2862212,2598216,72102,34118,70,13283,0,0,35961,161473,385035,493511,379664,341608,491316,452601,66831,56956,-0.004511719,11.6725,0,17253284
7/17/2025,198989,111997,1703474,1280496,1708112,1627643,72121,32118,1570,13283,0,0,34085,169832,294815,390103,256699,210131,512428,453158,67881,56754.7,-0.003540568,11.8175,0,10853092
7/18/2025,206134,112144,2315649,1464850,2351123,1904776,67768,31826,7570,14283,0,0,31779,179843,355354,460414,355235,260995,536079,462298,69282,56765.35,0.000187632,11.98,0,13732334
7/21/2025,206633,110812,2290251,1920424,2486062,2311413,66559,29360,5911,14283,0,0,31538,176782,350360,474567,351746,322862,535655,481137,71656,57006.65,0.004241823,11.48,0,14976312
7/22/2025,207135,109190,2841025,1996706,2864195,2405211,65840,29560,5911,14283,0,0,30254,179708,404137,528219,424169,350391,547960,504175,72938,57168.95,0.002842991,11.24,0,16630794
7/23/2025,204737,103216,2421661,2557331,2641246,2842075,65056,31260,5911,14283,0,0,32171,177728,418425,540459,402265,404952,600714,509051,73908,56828.8,-0.005967679,11.2425,0,17356054
7/24/2025,210893,102109,1954516,1449525,1967640,1816476,65944,37689,1570,14963,0,0,30674,176212,337211,456262,310417,263558,681800,530718,79481,56283,-0.009650704,11.3925,0,12111382
7/25/2025,217910,101463,2803065,1538984,2736743,2014106,62502,37825,1570,14963,0,0,31725,190245,432309,558610,460562,324550,632022,558298,74765,56952.75,0.011829441,11.2025,0,15349534
7/28/2025,223751,96914,3245888,1606848,3164232,2116160,60723,38049,1570,18296,0,0,33986,198714,444580,588880,522244,346635,714402,580245,74469,56756,-0.003460599,10.7525,0,17058314
7/29/2025,221661,89857,2990974,1996872,3114150,2437918,60573,31545,1570,23796,0,0,31031,201715,453880,591027,479598,387862,663773,662179,70828,57210.45,0.007975196,10.515,0,17431236
7/30/2025,219278,86237,3005821,2179155,3011218,2557330,60374,34515,1570,27796,0,0,33838,206851,455868,568923,506257,418936,719098,651007,68179,57066.05,-0.002527205,10.7225,0,18089426
7/31/2025,184815,80838,1235920,1026045,1243657,1368577,62595,32404,70,24774,0,0,16338,153998,187052,327252,224542,143520,842197,637701,70189,56528.9,-0.009457357,11.275,0,8263746
8/1/2025,202002,86619,2204098,1262583,2110516,1714683,62957,31218,70,24774,0,0,16421,174605,283704,411973,361271,210981,934571,641518,71782,56084.9,-0.007885398,12.0625,0,12102332
8/4/2025,199081,86254,2206963,1758312,2304380,2180048,62911,31218,70,24774,0,0,17230,174180,292059,406572,338534,238188,951326,663152,72125,56222,0.002441525,11.525,0,13683946
8/5/2025,207549,89052,2590223,1801991,2562314,2227267,62935,29518,70,19634,0,0,17090,185864,335018,456499,374810,259607,1011996,694250,74738,56150.7,-0.001268992,11.205,0,14822676
8/6/2025,208133,93259,3031442,1838812,2902144,2301507,62924,29081,70,29634,0,0,17310,184401,396621,532016,449463,270008,933491,824229,71649,55961.95,-0.003367152,11.5425,1,16541244
8/7/2025,209403,89593,1532145,1245912,1464923,1622163,64020,27088,70,25383,0,0,17977,191236,235441,416437,281197,174462,348942,323367,65067,55617.6,-0.006172298,11.975,0,10026868
8/8/2025,217668,93510,2604472,1358824,2445548,1850137,66935,25435,12070,32394,0,0,18122,200792,360340,480816,451153,197681,394168,353068,68627,55619.35,3.15E-05,11.9675,0,13943062
8/11/2025,215716,93362,2268785,1993015,2354657,2402620,66412,27135,70,34894,0,0,18282,198009,319433,517729,385879,288444,456070,375429,81105,55360.25,-0.004669335,11.7125,0,14974812
8/12/2025,218633,91345,2959909,1915103,2865482,2395005,66527,27985,70,34894,0,0,17520,202778,356179,512828,443340,260681,472131,387711,80039,55411.15,0.00091901,11.96,0,16548576
8/13/2025,217862,91683,2783983,2536444,2733953,2902372,66606,29131,1070,33439,0,0,19155,201912,399605,562039,451350,371415,470164,396005,80477,55521.15,0.001983192,11.6875,0,18115354
8/14/2025,214029,89898,1697060,1206346,1525668,1597071,66066,31131,5870,45454,0,0,18213,201092,254685,420447,286714,164603,538825,408536,89595,55004.9,-0.009341757,12.0325,0,10287864
8/18/2025,203467,87665,2238526,1722603,2146460,2185351,72060,34952,2170,45454,0,0,20703,192027,343765,506654,372870,251792,523586,423716,86510,55510.75,0.009154424,12.2175,0,13715226
8/19/2025,202833,85183,2373616,2271089,2362184,2656338,72435,35473,950,57454,0,0,20682,192213,362434,525440,375091,262975,578511,436835,89461,55043.7,-0.00844928,12.2325,0,15633550
8/20/2025,202829,83714,2569340,2723746,2535852,3049305,72307,40103,950,54679,0,0,21383,194575,384514,562212,422435,350914,597727,447639,90967,55181.45,0.002499431,12.14,0,17802734
