Date,Abnormal_Share,t_stat_Share,Significant_Share,Abnormal_Short,t_stat_Short,Significant_Short,Abnormal_Put,t_stat_Put,Significant_Put
7/2/2025,3.01055479,1.489720652,No,-0.006169568,-0.594765999,No,-0.046144292,-1.026535758,No
7/3/2025,1.05613271,0.522608894,No,0.007456727,0.718852252,No,-0.014772667,-0.328635901,No
7/4/2025,3.80021258,1.880469069,No,0.011387182,1.097760611,No,-0.0229229,-0.509947723,No
